Subject,Start Date,Start Time,End Date,All Day Event,Description,Location,Private
"Chris McCausland - Yonks!",02/28/2024,8:00 PM,02/29/2024,False,"Chris McCausland is hitting the road again with another masterclass in stand-up comedy that has literally been yonks in the making!\nPrice: ['Full Price �24.75 (including booking fees)']\nDetails: https://cornexchangenew.com/event/chris-mccausland-yonks \n\nRecorded at 2023-12-31 17:06:13.722027","Corn Exchange Auditorium",False
"Creating Portraits from Photographs - Spring 2024",02/03/2024,10:00 AM,03/02/2024,False,"Develop and learn new skills with expert insights.\nPrice: ['�95                    (For 5 Week Course)']\nDetails: https://cornexchangenew.com/event/creating-portraits-from-photographs---spring-2024 \n\nRecorded at 2023-12-31 17:06:14.037949","The Lookout Studio, The Base",False
"Bohemia Sustainable Jewellery making - Spring 2024",03/02/2024,1:00 PM,03/02/2024,False,"Join Mandy from Born Again Bohemia for an exciting workshop aimed at people who are interested in sustainable fashion\nPrice: ['Full Price �55']\nDetails: https://cornexchangenew.com/event/bohemia-sustainable-jewellery-making---spring-2024 \n\nRecorded at 2023-12-31 17:06:14.681434","The Lookout Studio, The Base",False
"St David's Day Celebration Concert with Cor Meibion De Cymru",03/02/2024,7:00 PM,03/02/2024,False,"We welcome Cor Meibion De Cymru (The South Wales Male Choir) to provide a St David�s Day Grand Concert to raise money for local charities.\nPrice: ['Full Price �26.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/st-david-s-day-celebration-concert-with-cor-meibion-de-cymru \n\nRecorded at 2023-12-31 17:06:15.317197","St Nicolas' Church",False
"Queenz: The Show with Balls!",03/02/2024,4:00 PM,03/02/2024,False,"Dance the night away with these dazzling divas!\nPrice: ['Full Price �28.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/queenz-the-show-with-balls \n\nRecorded at 2023-12-31 17:06:15.819360","Corn Exchange Auditorium",False
"Pastel Wildlife Portraits",03/02/2024,10:00 AM,03/02/2024,False,"Get creative and draw your favourite animals or pets!\nPrice: ['Full Price �55 (Discount available for Base Pass Plus holders)']\nDetails: https://cornexchangenew.com/event/pastel-wildlife-portraits \n\nRecorded at 2023-12-31 17:06:16.193502","Lookout Studio, The Base",False
"Hug in a Mug",02/18/2024,3:00 PM,03/03/2024,False,"Create a beautiful handmade mug in this two part course.\nPrice: ['�85                    (For 2 week course)']\nDetails: https://cornexchangenew.com/event/hug-in-a-mug \n\nRecorded at 2023-12-31 17:06:16.533581","The Lookout Studio, The Base",False
"Tim Vine: Breeeep!",03/03/2024,Not Stated,03/03/2024,False,"It�s Tim Vine and he�s back with a brand new stand-up show!\nPrice: ['Full Price �26 (including booking fee)']\nDetails: https://cornexchangenew.com/event/tim-vine-breeeep \n\nRecorded at 2023-12-31 17:06:16.866848","Corn Exchange Auditorium",False
"Boy on the Roof",03/03/2024,7:30 PM,03/03/2024,False,"The latest production from Vamos Theatre, the UK's leading full mask theatre company\nPrice: ['Full Price �17.25', 'Concessions Price �12 (Under-25s)', 'schools �10 (inlcuding booking fees)']\nDetails: https://cornexchangenew.com/event/boy-on-the-roof \n\nRecorded at 2023-12-31 17:06:17.524530","Corn Exchange Auditorium",False
"Emilio Santoro as Elvis",03/03/2024,7:45 PM,03/03/2024,False,"Internationally acclaimed, Emilio Santoro brings his award-winning Elvis Presley theatre show to the UK.\nPrice: ['Full Price �29.75', 'Concessions Price �27.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/emilio-santoro-as-elvis \n\nRecorded at 2023-12-31 17:06:18.038750","Corn Exchange Auditorium",False
"Botanical Sketching",03/03/2024,2:30 PM,03/03/2024,False,"Learn a new skill as you practice drawing from botanical inspirations.\nPrice: ['Full Price �30']\nDetails: https://cornexchangenew.com/event/botanical-sketching \n\nRecorded at 2023-12-31 17:06:18.382560","The Lookout Studio, The Base",False
"Sustainability Fair",03/03/2024,Not Stated,03/03/2024,False,"Small changes can make a big difference!\nPrice: ['free                    (no booking required)']\nDetails: https://cornexchangenew.com/event/sustainability-fair \n\nRecorded at 2023-12-31 17:06:19.337768","Corn Exchange Caf� Bar",False
"Crooners",03/03/2024,7:45 PM,03/03/2024,False,"Expect laugh out loud silliness and a splendid injections of Big Band swing!\nPrice: ['Full Price �28.50', 'Concessions Price �24.50']\nDetails: https://cornexchangenew.com/event/crooners \n\nRecorded at 2023-12-31 17:06:20.025511","Corn Exchange Auditorium",False
"Gong Bath - Spring 2024",03/03/2024,10:00 AM,03/03/2024,False,"A gong bath is the ultimate in deep relaxation. \nPrice: ['Full Price �20 (per person)']\nDetails: https://cornexchangenew.com/event/gong-bath-spring-2024 \n\nRecorded at 2023-12-31 17:06:20.640363","Learning Centre",False
"Mother's Day Printmaking",03/03/2024,10:00 AM,03/03/2024,False,"For a Mother Day Treat, why not enjoy an afternoon learning the skills and techniques involved in linoprinting\nPrice: ['�50                    (Includes tea and cake from Honesty Cafe)']\nDetails: https://cornexchangenew.com/event/mother-s-day-printmaking \n\nRecorded at 2023-12-31 17:06:21.081731","The Lookout Studio, The Base",False
"ManMade",03/03/2024,7:00 PM,03/03/2024,False,"Join us for a celebration of boys' dance and local talent.\nPrice: ['Full Price �11.25', 'Concessions Price �9.25 (Including Booking Fees)']\nDetails: https://cornexchangenew.com/event/manmade \n\nRecorded at 2023-12-31 17:06:21.457936","CORN EXCHANGE AUDITORIUM",False
"Screen Printing for Collage",03/03/2024,6:30 PM,03/03/2024,False,"A relaxing and creative printing and collaging workshop with Berkshire Printmakers.\nPrice: ['�45']\nDetails: https://cornexchangenew.com/event/screen-printing-for-collage \n\nRecorded at 2023-12-31 17:06:21.828387","The Lookout Studio, The Base",False
"Talk: WPY59 in Focus",03/03/2024,6:30 PM,03/03/2024,False,"Join member of the judging panel Richard Sabin for a fascinating insight into the award winning images of the Wildlife Photographer of the Year 59.\nPrice: ['�15                    (includes entry to the exhibition and a glass of wine or orange juice - Discount available for Base Pass Plus holders)']\nDetails: https://cornexchangenew.com/event/talk-wpy59-in-focus \n\nRecorded at 2023-12-31 17:06:22.224786","The Base Cafe",False
"Houdini's Greatest Escape",03/03/2024,7:30 PM,03/03/2024,False,"From the company who brought you Crimes on Centre Court, Crimes Camera Action and Crime in Egypt.\nPrice: ['Full Price �22.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/houdini-s-greatest-escape \n\nRecorded at 2023-12-31 17:06:22.579915","Corn Exchange Auditorium",False
"The Gruffalo's Child - Pre-Show Workshop",03/03/2024,10:00 AM,03/03/2024,False,"Are you team Mouse or team Gruffalo?\nPrice: ['Full Price �4 (per child)']\nDetails: https://cornexchangenew.com/event/the-gruffalo-s-child---pre-show-workshop \n\nRecorded at 2023-12-31 17:06:22.902503","Balcony Bar",False
"Clay Animal Workshop - Spring 2024",03/03/2024,1:30 PM,03/03/2024,False,"Join our resident artist C�it Gould to make your own clay animal in response to the wildlife photographer of the year exhibition.\nPrice: ['Full Price �20']\nDetails: https://cornexchangenew.com/event/clay-animal-workshop---spring-2024 \n\nRecorded at 2023-12-31 17:06:23.237016","The Lookout Studio, The Base",False
"The Gruffalo's Child",03/15/2024,1:30 PM,03/17/2024,False,"The perfect wintery production adapted from Julia Donaldson and Axel Scheffler�s award-winning storybook.\nPrice: ['Full Price �16.25', 'Under-18s �14.25                    (including booking fees)', 'Schools �11                    (please call box office to book)']\nDetails: https://cornexchangenew.com/event/the-gruffalo-s-child \n\nRecorded at 2023-12-31 17:06:23.718006","Corn Exchange Auditorium",False
"Start with Art",01/08/2024,10:00 AM,03/18/2024,False,"Perfect for all abilities, this open level course explores different art styles and techniques with Yvonne de Savigny in our weekly class in person.\nPrice: ['�50                    (Per 5 Week course)']\nDetails: https://cornexchangenew.com/event/start-with-art \n\nRecorded at 2023-12-31 17:06:24.093809","The Lookout Studio, The Base",False
"Creative Arts Club -  Spring 2024",01/08/2024,11:45 AM,03/18/2024,False,"Uncover your creativity in this course for beginners and experienced art lovers alike.\nPrice: ['�40                    (Per 5 week course)', '�32.50                    (For over-65s)']\nDetails: https://cornexchangenew.com/event/creative-arts-club---spring-2024 \n\nRecorded at 2023-12-31 17:06:24.652011","Learning Centre",False
"Afternoon Art Improvers - Spring 2024",01/08/2024,1:30 PM,03/18/2024,False,"Refine your painting technique\nPrice: ['�100                    (Per 10 Week Course)', '�85                    (For Over-65s)']\nDetails: https://cornexchangenew.com/event/afternoon-art-improvers---spring-2024 \n\nRecorded at 2023-12-31 17:06:24.992053","Learning Centre",False
"Creative Writing (age 11-14) - Spring 2024",01/08/2024,4:30 PM,03/18/2024,False,"Sharpen your quill and explore your creativity with writer and poet Rebecca L. Fearnley.\nPrice: ['Full Price �45 (for 5 week course)']\nDetails: https://cornexchangenew.com/event/creative-writing-age-11-14---spring-2024 \n\nRecorded at 2023-12-31 17:06:25.349055","Learning Centre",False
"Clay Class - Spring 2024",01/08/2024,6:00 PM,03/18/2024,False,"Tap into some of the fabulous possibilities of clay with Base resident artist Cait Gould.\nPrice: ['�155                    (Per 5 week course)', '�280                    (Per 10 week course)']\nDetails: https://cornexchangenew.com/event/clay-class-1---spring-2024 \n\nRecorded at 2023-12-31 17:06:25.729696","The Lookout Studio, The Base",False
"Ballroom and Latin Beginners - Spring 2024",01/08/2024,6:30 PM,03/18/2024,False,"A fun, friendly dance class for complete beginners!\nPrice: ['Full Price �90 (for 10 week course)']\nDetails: https://cornexchangenew.com/event/ballroom-and-latin-beginners---spring-2024 \n\nRecorded at 2023-12-31 17:06:26.062439","Learning Centre",False
"Ballroom and Latin Improvers - Spring 2024",01/08/2024,7:30 PM,03/18/2024,False,"A friendly class for people who already have some Ballroom and Latin American dance experience.\nPrice: ['Full Price �90 (for 10 week course)']\nDetails: https://cornexchangenew.com/event/ballroom-and-latin-improvers---spring-2024 \n\nRecorded at 2023-12-31 17:06:26.399766","Learning Centre",False
"Watercolours and Pastels",01/09/2024,10:00 AM,03/19/2024,False,"A general painting class with an emphasis on watercolour and pastel painting with Tessa Kirby.\nPrice: ['�50                    (per 5 week course - Discount available for Base Pass Plus holders)']\nDetails: https://cornexchangenew.com/event/watercolours-and-pastels \n\nRecorded at 2023-12-31 17:06:27.076657","The Lookout Studio, The Base",False
"Post-Natal Pilates",01/09/2024,10:00 AM,03/19/2024,False,"Enjoy this brand-new course for new mums\nPrice: ['Full Price �90 (for 10 week course, includes a regular tea or filter coffee from the caf� bar after the session)']\nDetails: https://cornexchangenew.com/event/post-natal-pilates \n\nRecorded at 2023-12-31 17:06:27.532953","Learning Centre",False
"Tots Act",01/09/2024,1:00 PM,03/19/2024,False,"Join Lottie Crowder, Corn Exchange Youth Theatre Leader, for these lively drama-based sessions.\nPrice: ['Full Price �20 per 5 week course (for 1 adult and 1 child)', '�15                    (sibling discount 25% off)']\nDetails: https://cornexchangenew.com/event/tots-act \n\nRecorded at 2023-12-31 17:06:28.001486","Learning Centre",False
"Sing 55 - Spring 2024",01/09/2024,2:00 PM,03/19/2024,False,"Sing and socialise as part of a community singing group.\nPrice: ['Full Price �3.50 (Per session)']\nDetails: https://cornexchangenew.com/event/sing-55---spring-2024 \n\nRecorded at 2023-12-31 17:06:28.395666","Learning Centre",False
"Experimental Landscapes",01/09/2024,6:00 PM,03/19/2024,False,"Unleash your inner artist with Experimental Landscapes.\nPrice: ['�75                    (Per 5 Week course)']\nDetails: https://cornexchangenew.com/event/experimental-landscapes \n\nRecorded at 2023-12-31 17:06:29.076596","The Lookout Studio, The Base",False
"Spring Equinox",03/19/2024,7:00 PM,03/19/2024,False,"A celebration of dance from companies across West Berkshire.\nPrice: ['per act �13.25', 'both acts �22.50                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/spring-equinox-2024 \n\nRecorded at 2023-12-31 17:06:29.431058","Corn Exchange Auditorium",False
"Experimental Drawing - Spring 2024",01/10/2024,10:00 AM,03/20/2024,False,"Under the expertise of Sally Haynes extend your practise and explore art with all your senses, and a variety of media and methods.\nPrice: ['�80                    (Per 5 Week Course)']\nDetails: https://cornexchangenew.com/event/experimental-drawing---spring-2024 \n\nRecorded at 2023-12-31 17:06:29.909543","The Lookout Studio, The Base",False
"Latin in Line - Spring 2024",01/10/2024,10:00 AM,03/20/2024,False,"A fantastic blend of Latin and Line Dancing.\nPrice: ['�40                    (Per 5 week course)', '�32.50                    (For over-65s)']\nDetails: https://cornexchangenew.com/event/latin-in-line---spring-2024 \n\nRecorded at 2023-12-31 17:06:30.262569","Learning Centre",False
"Pilates Online - Spring 2024",01/10/2024,12:00 PM,03/20/2024,False,"This multi-level class for all abilities will tone and balance your muscles, align your body and strengthen your core.\nPrice: ['Full Price �90 (for 10 week course)', 'Over-65s �75']\nDetails: https://cornexchangenew.com/event/pilates-online---spring-2024 \n\nRecorded at 2023-12-31 17:06:30.598763","Online",False
"Beginners Oil Painting - Spring 2024",01/10/2024,2:00 PM,03/20/2024,False,"Explore oil painting with Richard Francis Bellin.\nPrice: ['�95                    (Per 5 Week Course)']\nDetails: https://cornexchangenew.com/event/beginners-oil-painting---spring-2024 \n\nRecorded at 2023-12-31 17:06:30.974552","The Lookout Studio, The Base",False
"Dare to Dance - Spring 2024",01/10/2024,2:45 PM,03/20/2024,False,"Join us for our welcoming, accessible and challenging contemporary dance class.\nPrice: ['�85                    (For 10 Week Course)', '�70                    (For over-65s)']\nDetails: https://cornexchangenew.com/event/dare-to-dance-6 \n\nRecorded at 2023-12-31 17:06:31.316104","Learning Centre",False
"Teen Yoga - Spring 2024",01/10/2024,4:45 PM,03/20/2024,False,"Led by Ellen Clinch from Yoga Den, join in on Teen Yoga.\nPrice: ['Full Price �45 (for 5 week course)']\nDetails: https://cornexchangenew.com/event/teen-yoga \n\nRecorded at 2023-12-31 17:06:31.701620","Learning Centre",False
"Life Drawing (Wednesdays) - Spring 2024",01/10/2024,6:00 PM,03/20/2024,False,"Life drawing is the traditional discipline of working from the (usually) naked body.\nPrice: ['�80                    (Per 5 week course)', '�145                    (For 10 week course)']\nDetails: https://cornexchangenew.com/event/life-drawing-1-wednesdays---spring-2024 \n\nRecorded at 2023-12-31 17:06:32.306789","The Lookout Studio, The Base",False
"Yoga - Spring 2024",01/10/2024,6:15 PM,03/20/2024,False,"Join Ellen Clinch from Yoga Den for this gentle and relaxing yoga class\nPrice: ['Full Price �90 (for 10 week course)', 'Over-65s �75']\nDetails: https://cornexchangenew.com/event/yoga-spring-2024 \n\nRecorded at 2023-12-31 17:06:32.784273","Learning Centre",False
"Someone Like You - The Adele Songbook",03/20/2024,7:45 PM,03/20/2024,False,"Someone Like You - The Adele Songbook is an outstanding live concert performance featuring stunning vocals, a super-talented band and an incredible repertoire of all your favourite Adele hits � including songs from the brand-new album 30.\nPrice: ['Full Price �25', 'Under-16s �18                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/someone-like-you \n\nRecorded at 2023-12-31 17:06:33.880574","Corn Exchange Auditorium",False
"Tots Art - Spring 2024",01/11/2024,10:30 AM,03/21/2024,False,"Have fun getting creative with your little ones on Thursdays!\nPrice: ['Full Price �30 per 5 week course (for 1 adult and 1 child)', '�22.50                    (sibling discount 25% off)']\nDetails: https://cornexchangenew.com/event/tots-art---spring-2024 \n\nRecorded at 2023-12-31 17:06:34.220421","Learning Centre",False
"Afternoon Art Beginners - Spring 2024",01/11/2024,12:00 PM,03/21/2024,False,"Join us for an afternoon of creativity!\nPrice: ['']\nDetails: https://cornexchangenew.com/event/afternoon-art-beginners---spring-2024 \n\nRecorded at 2023-12-31 17:06:34.649202","Learning Centre",False
"Tai Chi: Open Level - Spring 2024",01/11/2024,2:00 PM,03/21/2024,False,"Improve your mood and reduce anxiety and stress while building better balance, strength and flexibility with this low impact Chinese exercise.\nPrice: ['�45                    (Per 5 Week Course)', '�37.50                    (For Over-65s)']\nDetails: https://cornexchangenew.com/event/tai-chi-open-level---spring-2024 \n\nRecorded at 2023-12-31 17:06:35.074531","Learning Centre",False
"Tai Chi: Intermediate - Spring 2024",01/11/2024,3:15 PM,03/21/2024,False,"Join us for a session of traditional self-healing, meditation, and self-cultivation exercises originating in ancient China.\nPrice: ['�45                    (Per 5 week course)', '�37.50                    (for over-65s)']\nDetails: https://cornexchangenew.com/event/tai-chi-intermediate---spring-2024 \n\nRecorded at 2023-12-31 17:06:35.499364","Learning Centre",False
"Little Artists After School Club - Spring 2024",01/11/2024,4:15 PM,03/21/2024,False,"Get creative in this super fun after school club.\nPrice: ['Full Price �30 (per 5 week course - Discount available for Base Pass Plus holders)']\nDetails: https://cornexchangenew.com/event/little-artists-after-school-club---spring-2024 \n\nRecorded at 2023-12-31 17:06:35.860706","The Lookout Studio, The Base",False
"Act 55 - Spring 2024",01/11/2024,4:30 PM,03/21/2024,False,"Join our new drama group for anyone aged 55+\nPrice: ['�40                    (Per 5 week course)', '�32.50                    (For over-65s)']\nDetails: https://cornexchangenew.com/event/act-55---spring-2024 \n\nRecorded at 2023-12-31 17:06:36.233278","Learning Centre",False
"The Story of Guitar Heroes",03/21/2024,7:45 PM,03/21/2024,False,"Prepare to be blown away by the most amazing guitar riffs of the last 50 years!\nPrice: ['Full Price �28.25 (Including booking fee)']\nDetails: https://cornexchangenew.com/event/the-story-of-guitar-heroes-3 \n\nRecorded at 2023-12-31 17:06:36.592820","Corn Exchange Auditorium",False
"Adult Theatre Skills - Spring 2024",01/11/2024,7:30 PM,03/21/2024,False,"Let loose and have fun in our Adult Theatre Skills sessions!\nPrice: ['Full Price �90 (for 10 week course)']\nDetails: https://cornexchangenew.com/event/adult-theatre-skills---spring-2024 \n\nRecorded at 2023-12-31 17:06:36.964153","Learning Centre",False
"Singing for Recovery - Spring 2024",01/12/2024,9:45 AM,03/22/2024,False,"With a focus on wellbeing, these sessions use vocal warm ups and group singing to promote relaxation and help build the confidence needed for recovery. \nPrice: ['Free                    (Pre-booking required)']\nDetails: https://cornexchangenew.com/event/singing-for-recovery---spring-2024 \n\nRecorded at 2023-12-31 17:06:37.806970","Learning Centre",False
"Sketch & Stroll in Burghfield",03/22/2024,10:00 AM,03/22/2024,False,"Creative wellbeing walks for Adults 55+ in West Berkshire.\nPrice: ['FREE']\nDetails: https://cornexchangenew.com/event/sketch-stroll-in-burghfield \n\nRecorded at 2023-12-31 17:06:38.749432","Burghfield Common Methodist Church",False
"Messy Stories - Spring 2024",01/12/2024,1:00 PM,03/22/2024,False,"Join artist Gemma Kirby for these fun messy story sessions that are based around popular children�s books.\nPrice: ['Full Price �3.50 (for 1 adult and 1 child)', 'Additional Child �2']\nDetails: https://cornexchangenew.com/event/messy-stories---spring-2024 \n\nRecorded at 2023-12-31 17:06:39.132685","Learning Centre",False
"My First Notes- Spring 2024",01/26/2024,10:30 AM,03/22/2024,False,"A relaxed, first introduction for pre-schoolers to experience live music up close.\nPrice: ['Full Price �10 (per child - includes 1 adult)', 'Additional person �2.50                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/my-first-notes--spring-2024 \n\nRecorded at 2023-12-31 17:06:39.750435","Corn Exchange Balcony Bar",False
"Life Drawing (Fridays) - Spring 2024",01/12/2024,6:00 PM,03/22/2024,False,"Life drawing is the traditional discipline of working from the (usually) naked body.\nPrice: ['�85                    (Per 5 week course)', '�145                    (For 10 week course)']\nDetails: https://cornexchangenew.com/event/life-drawing-1-fridays---spring-2024 \n\nRecorded at 2023-12-31 17:06:40.115226","The Lookout Studio, The Base",False
"The Spirituals",03/22/2024,Not Stated,03/22/2024,False,"Unfortuately this tour will no longer be taking place. The Box Office will be in touch to issue refunds. \nPrice: ['Full Price �28 (including booking fees)']\nDetails: https://cornexchangenew.com/event/the-spirituals \n\nRecorded at 2023-12-31 17:06:42.437558","Corn Exchange Auditorium",False
"Drawing with wire: Puffins 2024",03/22/2024,10:00 AM,03/22/2024,False,"Come and create this much loved bird in copper wire with step by step instructions.\nPrice: ['�75']\nDetails: https://cornexchangenew.com/event/drawing-with-wire-puffins-2024 \n\nRecorded at 2023-12-31 17:06:42.816620","The Lookout Studio, The Base",False
"The Greatest Magician: An Evening of Wonders",03/22/2024,7:45 PM,03/22/2024,False,"Directed by the late Paul Daniels in his final theatrical project - you�ll see why The List magazine called this show �one to watch in the world of magic�.\nPrice: ['Full Price �26.75', 'Concessions Price �22.75', 'VIP �39.25                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/the-greatest-magician \n\nRecorded at 2023-12-31 17:06:43.436320","Corn Exchange Auditorium",False
"Mixed Media Animal Course",03/17/2024,10:00 AM,03/24/2024,False,"Join Base resident artist Charlotte Crawford to create your own mixed media animal artwork.\nPrice: ['�65                    (For 2 weeks)']\nDetails: https://cornexchangenew.com/event/mixed-media-animal-course \n\nRecorded at 2023-12-31 17:06:43.836001","The Lookout Studio, The Base",False
"Nick Cope Family Music - Spring 2024",03/24/2024,11:00 AM,03/24/2024,False,"Nick�s live performances are legendary and he has a fanatical army of little and not-so-little fans from all over the world.\nPrice: ['Full Price �17.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/nick-cope-spring-2024 \n\nRecorded at 2023-12-31 17:06:44.218807","Corn Exchange Auditorium",False
"Collage Creatures",03/17/2024,1:30 PM,03/24/2024,False,"Get creative with Base resident artist Samantha Emmons.\nPrice: ['�60                    (for 2 week course - Discount available for Base Pass Plus holders)']\nDetails: https://cornexchangenew.com/event/collage-creatures \n\nRecorded at 2023-12-31 17:06:44.710571","The Lookout Studio, The Base",False
"ROH Live: Madama Butterfly",03/24/2024,7:15 PM,03/24/2024,False,"With a score that includes Butterfly�s aria, Un bel d�, vedremo (One fine day) and the Humming Chorus, Giacomo Puccini�s opera is entrancing and ultimately heart-breaking.\nPrice: ['Full Price �16.75', 'concs �14.75                    (including booking fees)']\nDetails: https://cornexchangenew.com/event/roh-live-madama-butterfly-2 \n\nRecorded at 2023-12-31 17:06:45.591739","Corn Exchange Cinema",False
"Screen Print a Wildlife Tote Bag",03/24/2024,10:00 AM,03/24/2024,False,"Batty about wombats, Fanatical about foxes, Crazy about Capybaras, then this is the workshop for you. \nPrice: ['Full Price �35']\nDetails: https://cornexchangenew.com/event/screen-print-a-wildlife-tote-bag \n\nRecorded at 2023-12-31 17:06:46.053313","The Lookout Studio, The Base",False
"Talk: Sustainable Living",03/24/2024,6:30 PM,03/24/2024,False,"Join Kirsty Shakespeare from the Trust for Sustainable Living and The Living Rainforest for an insight into how human living and climate change.\nPrice: ['�15                    (includes entry to the exhibition and a glass of wine or orange juice)']\nDetails: https://cornexchangenew.com/event/talk-sustainable-living \n\nRecorded at 2023-12-31 17:06:46.463406","The Base Cafe",False
"Awake My Soul: The Mumford & Sons Story",03/24/2024,7:45 PM,03/24/2024,False,"An incredible live concert celebrating Mumford & Sons', one of the most famous British folk-rock bands of the 21st century!\nPrice: ['Full Price �26.75 (Including Booking fees)']\nDetails: https://cornexchangenew.com/event/awake-my-soul-the-mumford-and-sons-story \n\nRecorded at 2023-12-31 17:06:47.017122","Corn Exchange Auditorium",False
"Children's Easter Printmaking",03/24/2024,9:30 AM,03/24/2024,False,"A fun introduction to printmaking with Charlotte Adcock to make Easter-themed prints and decorations.\nPrice: ['Full Price �15 per child']\nDetails: https://cornexchangenew.com/event/children-s-easter-printmaking-2 \n\nRecorded at 2023-12-31 17:06:47.409527","The Base, The Lookout Studio",False
"Introduction to Block Printing",03/24/2024,1:30 PM,03/24/2024,False,"This introduction to block printing with the Indian Block Printing Co. is the perfect workshop for anyone new to Indian block printing or for those wanting a refresher workshop.\nPrice: ['�55']\nDetails: https://cornexchangenew.com/event/introduction-to-block-printing-with-the-indian-block-print-co \n\nRecorded at 2023-12-31 17:06:47.830781","The Lookout Studio, The Base",False
"Holiday Art Club - Easter 2024",04/02/2024,10:00 AM,04/05/2024,False,"Join our art club this Easter holiday!\nPrice: ['Full Price �10 per child, per session.']\nDetails: https://cornexchangenew.com/event/holiday-art-club---easter-2024 \n\nRecorded at 2023-12-31 17:06:48.251533","The Lookout Studio, The Base",False
"There's a Monster in Your Show",04/02/2024,1:30 PM,04/05/2024,False,"A high-energy adventure featuring lively original music, this show is the perfect introduction to live theatre.\nPrice: ['Full Price �17.25', 'Concessions Price �15.25', 'Schools �13 (Including booking fees)']\nDetails: https://cornexchangenew.com/event/there-s-a-monster-in-your-show \n\nRecorded at 2023-12-31 17:06:48.673472","Corn Exchange Auditorium",False
"Comedy Network - Spring 2024",02/09/2024,8:00 PM,04/05/2024,False,"Get ready to laugh out loud with an evening of great comedy as Avalon presents The Comedy Network.\nPrice: ['Full Price �16.25', 'Concessions Price �14.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/comedy-network---february-2024 \n\nRecorded at 2023-12-31 17:06:49.072626","Corn Exchange Auditorium",False
"Wildlife Photography Course - Spring 2024",03/09/2024,10:30 AM,04/06/2024,False,"To coincide with The Base's Wildlife Photographer of the Year 59 exhibition, Join Donna Lewis for this five-week wildlife beginners photography course.\nPrice: ['�170                    (for 5 week course - Discount available for Base Pass Plus holders)']\nDetails: https://cornexchangenew.com/event/wildlife-photography-course---spring-2024 \n\nRecorded at 2023-12-31 17:06:49.575748","The Lookout Studio, The Base",False
"Woman Like Me: The Little Mix Show",04/06/2024,7:00 PM,04/06/2024,False,"The best-selling pop concert experience comes to Newbury.\nPrice: ['Full Price �17 (Including booking fees)']\nDetails: https://cornexchangenew.com/event/woman-like-me-the-little-mix-show \n\nRecorded at 2023-12-31 17:06:50.647795","Corn Exchange Auditorium",False
"Spring Hares",04/06/2024,10:00 AM,04/06/2024,False,"Weave a life-size sculpture of a boxing Hare to enhance your garden.\nPrice: ['�85']\nDetails: https://cornexchangenew.com/event/spring-hares \n\nRecorded at 2023-12-31 17:06:51.047208","The Lookout Studio, The Base",False
"Open Mic in the Balcony Bar",01/07/2024,Not Stated,04/07/2024,False,"Enjoy live entertainment from local talent!\nPrice: ['FREE']\nDetails: https://cornexchangenew.com/event/open-mic-night \n\nRecorded at 2023-12-31 17:06:52.179170","Corn Exchange Balcony Bar, 6pm",False
"An Evening with Aggers",04/07/2024,7:30 PM,04/07/2024,False,"Get ready to be bowled over by true cricket legend and renowned BBC correspondent, Jonathan Agnew.\nPrice: ['Full Price �34.25 (including booking fee)']\nDetails: https://cornexchangenew.com/event/an-evening-with-aggers \n\nRecorded at 2023-12-31 17:06:52.572259","Corn Exchange Auditorium",False
"Crafting with Nature",04/07/2024,10:00 AM,04/07/2024,False,"Join us for a fun crafty session making nature based crafts using natural and foridged materials.\nPrice: ['Full Price �15 per child']\nDetails: https://cornexchangenew.com/event/crafting-with-nature-2 \n\nRecorded at 2023-12-31 17:06:53.169525","The Lookout Studio, The Base",False
"The Museum of Marvellous Things - Pre-Show Workshop",04/07/2024,1:00 PM,04/07/2024,False,"Join artist Gemma Kirby in the Balcony Bar for a pre-show family craft session.\nPrice: ['Full Price �4 (per child)']\nDetails: https://cornexchangenew.com/event/the-museum-of-marvellous-things---pre-show-workshop \n\nRecorded at 2023-12-31 17:06:54.000869","Corn Exchange Balcony Bar",False
"The Museum of Marvellous Things",04/07/2024,2:00 PM,04/07/2024,False,"Welcome to The Museum of Marvellous Things, where the impossible can happen!\nPrice: ['Full Price �15.25', 'under - 18s �12.25 (including booking fees)']\nDetails: https://cornexchangenew.com/event/museum-of-marvellous-things \n\nRecorded at 2023-12-31 17:06:54.673766","Corn Exchange Auditorium",False
"Create and Make (Easter) - Spring 2024",04/08/2024,10:00 AM,04/12/2024,False,"Join us for some creative fun in the Easter holidays.\nPrice: ['Full Price �35 (per child, per day)', '�140                    (for all 5 days, booked in the same transaction)']\nDetails: https://cornexchangenew.com/event/create-and-make-easter-spring-2024 \n\nRecorded at 2023-12-31 17:06:55.107843","Not Stated",False
